degree,university,year,gross_mthly_25_percentile,gross_mthly_75_percentile,gross_monthly_median,IQR,IQR_ratio
Accountancy (Cum Laude and above),Singapore Management University,2022,3600,5500,4025.0,1900,0.4720496894409938
Accountancy Cum Laude and above,Singapore Management University,2015,2850,4110,3200.0,1260,0.39375
Accountancy Cum Laude and above,Singapore Management University,2016,3000,4583,3600.0,1583,0.43972222222222224
Accountancy Cum Laude and above,Singapore Management University,2017,3000,4645,3200.0,1645,0.5140625
Accountancy and Business,Nanyang Technological University,2013,2900,4000,3350.0,1100,0.3283582089552239
Accountancy and Business,Nanyang Technological University,2014,2900,4000,3300.0,1100,0.3333333333333333
Accountancy and Business,Nanyang Technological University,2015,3000,4850,3770.0,1850,0.4907161803713528
Accountancy and Business,Nanyang Technological University,2016,3100,4250,3500.0,1150,0.32857142857142857
Accountancy and Business,Nanyang Technological University,2018,3600,4633,4000.0,1033,0.25825
Accountancy and Business,Nanyang Technological University,2019,3200,4600,4000.0,1400,0.35
Accountancy and Business,Nanyang Technological University,2020,3500,5000,4405.0,1500,0.340522133938706
Accountancy and Business,Nanyang Technological University,2021,3700,5858,4500.0,2158,0.47955555555555557
Accountancy and Business,Nanyang Technological University,2022,4167,6230,4942.0,2063,0.41744233104006473
Accountancy and Business,Nanyang Technological University,2023,4000,5344,4650.0,1344,0.28903225806451616
Aerospace Engineering,Nanyang Technological University,2013,3100,3816,3500.0,716,0.20457142857142857
Aerospace Engineering,Nanyang Technological University,2014,3300,4070,3770.0,770,0.20424403183023873
Aerospace Engineering,Nanyang Technological University,2015,3450,4000,3700.0,550,0.14864864864864866
Aerospace Engineering,Nanyang Technological University,2016,3350,4435,3675.0,1085,0.29523809523809524
Aerospace Engineering,Nanyang Technological University,2018,3365,4280,3800.0,915,0.24078947368421053
Aerospace Engineering,Nanyang Technological University,2019,3500,4600,3800.0,1100,0.2894736842105263
Aerospace Engineering,Nanyang Technological University,2020,3800,4945,4000.0,1145,0.28625
Aerospace Engineering,Nanyang Technological University,2021,3792,5000,4471.0,1208,0.27018564079624247
Aerospace Engineering,Nanyang Technological University,2022,4160,5500,5000.0,1340,0.268
Aerospace Engineering,Nanyang Technological University,2023,4150,5700,4763.0,1550,0.3254251522149906
"Art, Design & Media",Nanyang Technological University,2013,2300,2900,2500.0,600,0.24
"Art, Design & Media",Nanyang Technological University,2014,2300,3000,2700.0,700,0.25925925925925924
"Art, Design & Media",Nanyang Technological University,2015,2200,3000,2800.0,800,0.2857142857142857
"Art, Design & Media",Nanyang Technological University,2016,2500,3000,2700.0,500,0.18518518518518517
"Art, Design & Media",Nanyang Technological University,2018,2600,3300,3000.0,700,0.23333333333333334
"Art, Design & Media",Nanyang Technological University,2019,2800,3500,3000.0,700,0.23333333333333334
"Art, Design and Media",Nanyang Technological University,2020,2500,3300,2800.0,800,0.2857142857142857
"Art, Design and Media",Nanyang Technological University,2021,2650,3675,3000.0,1025,0.3416666666666667
"Art, Design and Media",Nanyang Technological University,2022,3000,3600,3200.0,600,0.1875
"Art, Design and Media",Nanyang Technological University,2023,3000,3755,3498.0,755,0.21583762149799884
Arts (With Education),Nanyang Technological University,2018,3600,3806,3800.0,206,0.05421052631578947
Arts (and Education),Nanyang Technological University,2023,3948,4600,4200.0,652,0.15523809523809523
Arts (with Education),Nanyang Technological University,2013,3400,3575,3498.0,175,0.05002858776443682
Arts (with Education),Nanyang Technological University,2014,3400,3700,3475.0,300,0.08633093525179857
Arts (with Education),Nanyang Technological University,2015,3500,3605,3500.0,105,0.03
Arts (with Education),Nanyang Technological University,2016,3400,3615,3525.0,215,0.06099290780141844
Arts (with Education),Nanyang Technological University,2019,3600,3806,3800.0,206,0.05421052631578947
Arts (with Education),Nanyang Technological University,2020,3600,3806,3799.0,206,0.05422479599894709
Arts (with Education),Nanyang Technological University,2021,3700,3900,3780.0,200,0.05291005291005291
Arts (with Education),Nanyang Technological University,2022,3750,4300,4129.0,550,0.1332041656575442
Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,2015,3313,3650,3488.0,337,0.09661697247706422
Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,2016,3400,3930,3660.0,530,0.1448087431693989
Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,2020,3400,3859,3650.0,459,0.12575342465753425
Bachelor in Science (Diagnostic Radiography) ^,Singapore Institute of Technology,2018,3300,3800,3350.0,500,0.14925373134328357
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2014,3000,3338,3100.0,338,0.10903225806451614
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2015,3000,3225,3125.0,225,0.072
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2016,3100,3500,3200.0,400,0.125
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2017,3020,3450,3300.0,430,0.1303030303030303
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2018,3300,3610,3460.0,310,0.08959537572254335
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2019,3308,3650,3425.0,342,0.09985401459854015
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2020,3364,3629,3400.0,265,0.07794117647058824
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2014,3000,3500,3200.0,500,0.15625
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2015,3200,3500,3222.0,300,0.0931098696461825
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2016,3240,3500,3300.0,260,0.07878787878787878
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2017,3300,3500,3400.0,200,0.058823529411764705
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2018,3000,3600,3300.0,600,0.18181818181818182
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2019,3400,3620,3400.0,220,0.06470588235294118
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2020,3400,3700,3500.0,300,0.08571428571428572
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2022,3500,3850,3674.0,350,0.09526401741970604
Bachelor in Science (Radiation Therapy) ^,Singapore Institute of Technology,2020,3400,3500,3500.0,100,0.02857142857142857
Bachelor of Accountancy,Singapore University of Social Sciences,2018,2700,3000,3000.0,300,0.1
Bachelor of Accountancy,Singapore University of Social Sciences,2019,2750,3000,3000.0,250,0.08333333333333333
Bachelor of Accountancy,Singapore University of Social Sciences,2020,3000,3000,3000.0,0,0.0
Bachelor of Accountancy,Singapore University of Social Sciences,2021,3000,3400,3200.0,400,0.125
Bachelor of Accountancy,Singapore University of Social Sciences,2022,3500,3663,3600.0,163,0.04527777777777778
Bachelor of Accountancy,Singapore University of Social Sciences,2023,3500,3600,3600.0,100,0.027777777777777776
Bachelor of Accountancy (Hons),Nanyang Technological University,2017,2900,3100,3000.0,200,0.06666666666666667
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2017,2975,3250,3088.0,275,0.08905440414507772
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2018,3000,3250,3075.0,250,0.08130081300813008
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2019,3000,3250,3100.0,250,0.08064516129032258
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2020,3000,3200,3000.0,200,0.06666666666666667
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2021,3200,3460,3400.0,260,0.07647058823529412
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2022,3600,4000,3600.0,400,0.1111111111111111
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2023,3600,4000,3620.0,400,0.11049723756906077
Bachelor of Applied Science (Hons),National University of Singapore,2013,2600,3255,2900.0,655,0.22586206896551725
Bachelor of Applied Science (Hons),National University of Singapore,2014,2600,3000,2800.0,400,0.14285714285714285
Bachelor of Applied Science (Hons),National University of Singapore,2015,3000,4000,3100.0,1000,0.3225806451612903
Bachelor of Applied Science (Hons),National University of Singapore,2016,2800,3350,3130.0,550,0.1757188498402556
Bachelor of Applied Science (Hons),National University of Singapore,2017,2800,3200,3085.0,400,0.12965964343598055
Bachelor of Arts,National University of Singapore,2013,2500,3080,2800.0,580,0.20714285714285716
Bachelor of Arts,National University of Singapore,2014,2500,3010,2800.0,510,0.18214285714285713
Bachelor of Arts,National University of Singapore,2015,2700,3215,3000.0,515,0.17166666666666666
Bachelor of Arts,National University of Singapore,2016,2600,3200,3000.0,600,0.2
Bachelor of Arts,National University of Singapore,2017,2700,3300,3000.0,600,0.2
Bachelor of Arts,National University of Singapore,2018,2800,3600,3200.0,800,0.25
Bachelor of Arts,National University of Singapore,2019,2800,3700,3200.0,900,0.28125
Bachelor of Arts,National University of Singapore,2020,2700,3600,3300.0,900,0.2727272727272727
Bachelor of Arts,National University of Singapore,2021,2850,4100,3200.0,1250,0.390625
Bachelor of Arts,National University of Singapore,2022,3500,4000,3700.0,500,0.13513513513513514
Bachelor of Arts,National University of Singapore,2023,3400,5000,3745.0,1600,0.4272363150867824
Bachelor of Arts (Architecture),National University of Singapore,2020,3650,4300,4000.0,650,0.1625
Bachelor of Arts (Architecture),National University of Singapore,2021,3600,4440,4000.0,840,0.21
Bachelor of Arts (Architecture) #,National University of Singapore,2014,4000,4750,4275.0,750,0.17543859649122806
Bachelor of Arts (Architecture) #,National University of Singapore,2015,3700,4500,4127.0,800,0.1938454082868912
Bachelor of Arts (Architecture) #,National University of Singapore,2016,3500,4250,4000.0,750,0.1875
Bachelor of Arts (Architecture) #,National University of Singapore,2017,3780,4300,4000.0,520,0.13
Bachelor of Arts (Architecture) #,National University of Singapore,2019,3800,4500,4100.0,700,0.17073170731707318
Bachelor of Arts (Architecture) #,National University of Singapore,2022,4000,4800,4400.0,800,0.18181818181818182
Bachelor of Arts (Hons),National University of Singapore,2013,2800,3500,3200.0,700,0.21875
Bachelor of Arts (Hons),National University of Singapore,2014,3000,3600,3300.0,600,0.18181818181818182
Bachelor of Arts (Hons),National University of Singapore,2015,3000,3625,3310.0,625,0.18882175226586104
Bachelor of Arts (Hons),National University of Singapore,2016,3000,3600,3500.0,600,0.17142857142857143
Bachelor of Arts (Hons),National University of Singapore,2017,3000,3600,3360.0,600,0.17857142857142858
Bachelor of Arts (Hons),National University of Singapore,2018,3000,3600,3300.0,600,0.18181818181818182
Bachelor of Arts (Hons),National University of Singapore,2019,3250,3800,3500.0,550,0.15714285714285714
Bachelor of Arts (Hons),National University of Singapore,2020,3300,3854,3500.0,554,0.15828571428571428
Bachelor of Arts (Hons),National University of Singapore,2021,3400,3983,3650.0,583,0.15972602739726027
Bachelor of Arts (Hons),National University of Singapore,2022,3500,4390,4000.0,890,0.2225
Bachelor of Arts (Hons),National University of Singapore,2023,3500,4500,4008.0,1000,0.249500998003992
Bachelor of Arts (Hons) (Education),Nanyang Technological University,2017,3500,3800,3600.0,300,0.08333333333333333
Bachelor of Arts (Hons) in Chinese,Nanyang Technological University,2017,2750,3500,3300.0,750,0.22727272727272727
Bachelor of Arts (Hons) in Economics,Nanyang Technological University,2017,3000,3720,3240.0,720,0.2222222222222222
Bachelor of Arts (Hons) in English,Nanyang Technological University,2017,2800,3300,3000.0,500,0.16666666666666666
Bachelor of Arts (Hons) in History,Nanyang Technological University,2017,3000,3600,3200.0,600,0.1875
Bachelor of Arts (Hons) in Linguistics And Multilingual Studies,Nanyang Technological University,2017,2600,3500,3100.0,900,0.2903225806451613
Bachelor of Arts (Hons) in Psychology,Nanyang Technological University,2017,2890,3500,3200.0,610,0.190625
Bachelor of Arts (Hons) in Public Policy And Global Affairs,Nanyang Technological University,2017,3160,3750,3395.0,590,0.17378497790868924
Bachelor of Arts (Hons) in Sociology,Nanyang Technological University,2017,2970,3500,3228.0,530,0.16418835192069392
Bachelor of Arts (Industrial Design),National University of Singapore,2013,2400,3000,2650.0,600,0.22641509433962265
Bachelor of Arts (Industrial Design),National University of Singapore,2014,2200,3000,2565.0,800,0.31189083820662766
Bachelor of Arts (Industrial Design),National University of Singapore,2015,2700,3200,3000.0,500,0.16666666666666666
Bachelor of Arts (Industrial Design),National University of Singapore,2016,2900,4000,3000.0,1100,0.36666666666666664
Bachelor of Arts (Industrial Design),National University of Singapore,2017,2600,3200,2920.0,600,0.2054794520547945
Bachelor of Arts (Industrial Design),National University of Singapore,2018,3000,3800,3250.0,800,0.24615384615384617
Bachelor of Arts (Industrial Design),National University of Singapore,2021,3200,4250,3825.0,1050,0.27450980392156865
Bachelor of Arts (Industrial Design),National University of Singapore,2022,3500,4500,4500.0,1000,0.2222222222222222
Bachelor of Arts (Industrial Design),National University of Singapore,2023,3600,4500,4000.0,900,0.225
Bachelor of Arts (Industrial Design) ^,National University of Singapore,2019,3000,3500,3300.0,500,0.15151515151515152
Bachelor of Arts (Industrial Design) ^,National University of Singapore,2020,3000,3500,3500.0,500,0.14285714285714285
Bachelor of Arts in Game Design,Singapore Institute of Technology,2014,2575,2800,2700.0,225,0.08333333333333333
Bachelor of Arts in Game Design ^,Singapore Institute of Technology,2017,2800,3200,3000.0,400,0.13333333333333333
Bachelor of Arts in Game Design ^,Singapore Institute of Technology,2018,3196,3500,3300.0,304,0.09212121212121212
Bachelor of Arts in Game Design ^,Singapore Institute of Technology,2019,3000,3500,3220.0,500,0.15527950310559005
Bachelor of Arts in Game Design ^,Singapore Institute of Technology,2020,3100,3600,3500.0,500,0.14285714285714285
Bachelor of Arts in Game Design ^,Singapore Institute of Technology,2021,3200,3500,3300.0,300,0.09090909090909091
Bachelor of Arts in Game Design ^,Singapore Institute of Technology,2022,3400,4250,3600.0,850,0.2361111111111111
Bachelor of Arts in Game Design^,Singapore Institute of Technology,2023,3300,4000,3600.0,700,0.19444444444444445
Bachelor of Arts with Honours,National University of Singapore,2017,3075,4000,3500.0,925,0.2642857142857143
Bachelor of Arts with Honours,National University of Singapore,2018,3275,4642,3630.0,1367,0.3765840220385675
Bachelor of Arts with Honours,National University of Singapore,2019,3400,4567,3684.0,1167,0.31677524429967424
Bachelor of Arts with Honours,National University of Singapore,2020,3475,5000,3890.0,1525,0.39203084832904883
Bachelor of Arts with Honours,National University of Singapore,2021,3500,5000,4000.0,1500,0.375
Bachelor of Arts with Honours,National University of Singapore,2022,3800,6000,4600.0,2200,0.4782608695652174
Bachelor of Arts with Honours,National University of Singapore,2023,3850,5500,4250.0,1650,0.38823529411764707
Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2014,2400,2800,2500.0,400,0.16
Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2015,2523,2975,2750.0,452,0.16436363636363635
Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2016,2500,2700,2600.0,200,0.07692307692307693
Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2017,2500,3200,2700.0,700,0.25925925925925924
Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2018,2550,3000,2950.0,450,0.15254237288135594
Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2019,2450,3000,2800.0,550,0.19642857142857142
Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2020,2500,3000,2800.0,500,0.17857142857142858
Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2021,2700,3200,3000.0,500,0.16666666666666666
Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,2016,3700,4600,4200.0,900,0.21428571428571427
Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,2017,3050,4160,3800.0,1110,0.29210526315789476
Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,2018,3260,4100,3729.0,840,0.2252614641995173
Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,2019,3400,4050,3695.0,650,0.17591339648173207
Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,2020,3400,4300,3700.0,900,0.24324324324324326
Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,2021,3400,4500,3850.0,1100,0.2857142857142857
Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,2022,4000,5293,4561.0,1293,0.28349046261784694
Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2014,2373,2800,2500.0,427,0.1708
Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2015,2500,3025,2700.0,525,0.19444444444444445
Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2016,2200,2800,2515.0,600,0.23856858846918488
Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2017,2500,3000,2700.0,500,0.18518518518518517
Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2018,2500,3000,2775.0,500,0.18018018018018017
Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2019,2400,3000,2700.0,600,0.2222222222222222
Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2020,2500,3500,2600.0,1000,0.38461538461538464
Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2021,2500,3100,3000.0,600,0.2
Bachelor of Business (Hons),Nanyang Technological University,2017,3000,3800,3300.0,800,0.24242424242424243
Bachelor of Business Administration,National University of Singapore,2013,2700,3370,3000.0,670,0.22333333333333333
Bachelor of Business Administration,National University of Singapore,2014,2800,3300,3000.0,500,0.16666666666666666
Bachelor of Business Administration,National University of Singapore,2015,2800,3700,3000.0,900,0.3
Bachelor of Business Administration,National University of Singapore,2016,2837,3500,3000.0,663,0.221
Bachelor of Business Administration,National University of Singapore,2017,3000,4333,3500.0,1333,0.38085714285714284
Bachelor of Business Administration,National University of Singapore,2018,3000,3750,3225.0,750,0.23255813953488372
Bachelor of Business Administration,National University of Singapore,2019,3400,5500,4000.0,2100,0.525
Bachelor of Business Administration,National University of Singapore,2021,3125,7625,3700.0,4500,1.2162162162162162
Bachelor of Business Administration,National University of Singapore,2022,4000,7000,5100.0,3000,0.5882352941176471
Bachelor of Business Administration,National University of Singapore,2023,4077,7500,5167.0,3423,0.6624733888136249
"Bachelor of Business Administration
(Accountancy) (Hons)",National University of Singapore,2023,3600,5450,4200.0,1850,0.44047619047619047
"Bachelor of Business Administration
(Accountancy)^",National University of Singapore,2023,3520,3820,3600.0,300,0.08333333333333333
"Bachelor of Business Administration
(Hons)",National University of Singapore,2023,4000,5800,4800.0,1800,0.375
Bachelor of Business Administration (Accountancy),National University of Singapore,2013,2700,3018,2700.0,318,0.11777777777777777
Bachelor of Business Administration (Accountancy),National University of Singapore,2014,2700,3000,2838.0,300,0.10570824524312897
Bachelor of Business Administration (Accountancy),National University of Singapore,2015,2700,2960,2850.0,260,0.0912280701754386
Bachelor of Business Administration (Accountancy),National University of Singapore,2016,2800,3100,2963.0,300,0.10124873439082012
Bachelor of Business Administration (Accountancy),National University of Singapore,2017,3000,3600,3025.0,600,0.19834710743801653
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2013,2700,3200,2800.0,500,0.17857142857142858
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2014,2800,3614,2912.0,814,0.27953296703296704
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2015,2850,3634,3000.0,784,0.2613333333333333
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2016,2900,3800,3075.0,900,0.2926829268292683
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2017,3000,4023,3125.0,1023,0.32736
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2018,3000,4000,3200.0,1000,0.3125
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2019,3000,4500,3600.0,1500,0.4166666666666667
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2020,3000,4425,3500.0,1425,0.40714285714285714
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2021,3200,4600,3500.0,1400,0.4
Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2022,3600,5000,4000.0,1400,0.35
Bachelor of Business Administration (Accountancy) ^,National University of Singapore,2018,2700,3500,3020.0,800,0.26490066225165565
Bachelor of Business Administration (Accountancy) ^,National University of Singapore,2019,3000,3800,3000.0,800,0.26666666666666666
Bachelor of Business Administration (Accountancy) ^,National University of Singapore,2020,2800,5500,3500.0,2700,0.7714285714285715
Bachelor of Business Administration (Accountancy) ^,National University of Singapore,2021,3013,3750,3400.0,737,0.21676470588235294
Bachelor of Business Administration (Accountancy) ^,National University of Singapore,2022,3400,5500,3800.0,2100,0.5526315789473685
Bachelor of Business Administration (Hons),National University of Singapore,2013,2800,3800,3200.0,1000,0.3125
Bachelor of Business Administration (Hons),National University of Singapore,2014,3200,4300,3520.0,1100,0.3125
Bachelor of Business Administration (Hons),National University of Singapore,2015,3300,4600,3800.0,1300,0.34210526315789475
Bachelor of Business Administration (Hons),National University of Singapore,2016,3258,4500,3620.0,1242,0.3430939226519337
Bachelor of Business Administration (Hons),National University of Singapore,2017,3450,4782,3800.0,1332,0.3505263157894737
Bachelor of Business Administration (Hons),National University of Singapore,2018,3300,4748,3895.0,1448,0.3717586649550706
Bachelor of Business Administration (Hons),National University of Singapore,2019,3500,5000,4150.0,1500,0.3614457831325301
Bachelor of Business Administration (Hons),National University of Singapore,2020,3600,5000,4000.0,1400,0.35
Bachelor of Business Administration (Hons),National University of Singapore,2021,3700,5200,4347.0,1500,0.3450655624568668
Bachelor of Business Administration (Hons),National University of Singapore,2022,4000,5938,4696.0,1938,0.4126916524701874
Bachelor of Business Administration ^,National University of Singapore,2020,3300,6100,4150.0,2800,0.6746987951807228
"Bachelor of Business Administration in
Food Business Management",Singapore Institute of Technology,2023,2800,4000,3100.0,1200,0.3870967741935484
Bachelor of Business Administration in Food Business Management,Singapore Institute of Technology,2018,2415,3300,2663.0,885,0.33233195644010516
Bachelor of Business Administration in Food Business Management,Singapore Institute of Technology,2020,2300,2820,2550.0,520,0.20392156862745098
Bachelor of Business Administration in Food Business Management,Singapore Institute of Technology,2021,2500,3100,2700.0,600,0.2222222222222222
Bachelor of Business Administration in Food Business Management ^,Singapore Institute of Technology,2019,2200,3350,2625.0,1150,0.4380952380952381
Bachelor of Business Administration in Food Business Management ^,Singapore Institute of Technology,2022,2300,3500,3050.0,1200,0.39344262295081966
Bachelor of Communication Studies (Hons),Nanyang Technological University,2017,2775,3500,3000.0,725,0.24166666666666667
Bachelor of Computing (Communications and Media),National University of Singapore,2013,2825,3425,3050.0,600,0.19672131147540983
Bachelor of Computing (Communications and Media),National University of Singapore,2014,2900,3300,3088.0,400,0.12953367875647667
Bachelor of Computing (Communications and Media),National University of Singapore,2015,2800,3800,3500.0,1000,0.2857142857142857
"Bachelor of Computing (Computer
Science)",National University of Singapore,2023,5500,7700,6333.0,2200,0.3473867045633981
Bachelor of Computing (Computer Science),National University of Singapore,2013,3000,4000,3425.0,1000,0.291970802919708
Bachelor of Computing (Computer Science),National University of Singapore,2014,3300,4000,3500.0,700,0.2
Bachelor of Computing (Computer Science),National University of Singapore,2015,3300,4400,3700.0,1100,0.2972972972972973
Bachelor of Computing (Computer Science),National University of Singapore,2016,3500,5000,4000.0,1500,0.375
Bachelor of Computing (Computer Science),National University of Singapore,2017,3656,5000,4285.0,1344,0.31365227537922985
Bachelor of Computing (Computer Science),National University of Singapore,2018,3900,5000,4320.0,1100,0.25462962962962965
Bachelor of Computing (Computer Science),National University of Singapore,2019,4205,5585,5000.0,1380,0.276
Bachelor of Computing (Computer Science),National University of Singapore,2020,4400,6316,5243.0,1916,0.3654396337974442
Bachelor of Computing (Computer Science),National University of Singapore,2021,5000,6900,6000.0,1900,0.31666666666666665
Bachelor of Computing (Computer Science),National University of Singapore,2022,5341,7583,6600.0,2242,0.3396969696969697
Bachelor of Computing (Electronic Commerce),National University of Singapore,2013,2800,3553,3080.0,753,0.2444805194805195
Bachelor of Computing (Electronic Commerce),National University of Singapore,2014,3000,3500,3200.0,500,0.15625
Bachelor of Computing (Electronic Commerce),National University of Singapore,2015,3000,3500,3300.0,500,0.15151515151515152
"Bachelor of Computing (Information
Security)",National University of Singapore,2023,5000,6210,5500.0,1210,0.22
"Bachelor of Computing (Information
Systems)",National University of Singapore,2023,5000,6000,5500.0,1000,0.18181818181818182
Bachelor of Computing (Information Security),National University of Singapore,2022,4800,6475,5500.0,1675,0.30454545454545456
Bachelor of Computing (Information Security) ^,National University of Singapore,2020,4200,5300,5000.0,1100,0.22
Bachelor of Computing (Information Security) ^,National University of Singapore,2021,4305,5500,5400.0,1195,0.2212962962962963
Bachelor of Computing (Information Systems),National University of Singapore,2013,3000,3800,3005.0,800,0.26622296173044924
Bachelor of Computing (Information Systems),National University of Singapore,2014,3100,4039,3500.0,939,0.2682857142857143
Bachelor of Computing (Information Systems),National University of Singapore,2015,3200,4100,3550.0,900,0.2535211267605634
Bachelor of Computing (Information Systems),National University of Singapore,2016,3365,4500,4000.0,1135,0.28375
Bachelor of Computing (Information Systems),National University of Singapore,2017,3550,4592,4000.0,1042,0.2605
Bachelor of Computing (Information Systems),National University of Singapore,2018,4000,5000,4458.0,1000,0.2243158366980709
Bachelor of Computing (Information Systems),National University of Singapore,2019,4000,4685,4228.0,685,0.1620151371807001
Bachelor of Computing (Information Systems),National University of Singapore,2020,4000,5400,4500.0,1400,0.3111111111111111
Bachelor of Computing (Information Systems),National University of Singapore,2021,4500,5400,5000.0,900,0.18
Bachelor of Computing (Information Systems),National University of Singapore,2022,4800,6250,5500.0,1450,0.2636363636363636
Bachelor of Dental Surgery,National University of Singapore,2013,4000,4400,4000.0,400,0.1
Bachelor of Dental Surgery,National University of Singapore,2014,4000,4020,4000.0,20,0.005
Bachelor of Dental Surgery,National University of Singapore,2015,4000,4400,4000.0,400,0.1
Bachelor of Dental Surgery,National University of Singapore,2016,4050,4450,4050.0,400,0.09876543209876543
Bachelor of Dental Surgery,National University of Singapore,2017,4000,4400,4050.0,400,0.09876543209876543
Bachelor of Dental Surgery,National University of Singapore,2018,4000,4450,4050.0,450,0.1111111111111111
Bachelor of Dental Surgery,National University of Singapore,2019,4000,4500,4200.0,500,0.11904761904761904
Bachelor of Dental Surgery,National University of Singapore,2020,4200,4600,4200.0,400,0.09523809523809523
Bachelor of Dental Surgery,National University of Singapore,2021,4200,4600,4200.0,400,0.09523809523809523
Bachelor of Dental Surgery,National University of Singapore,2022,4200,4600,4200.0,400,0.09523809523809523
Bachelor of Dental Surgery,National University of Singapore,2023,4500,4950,4550.0,450,0.0989010989010989
Bachelor of Early Childhood Education,Singapore University of Social Sciences,2021,2800,3100,3000.0,300,0.1
Bachelor of Early Childhood Education,Singapore University of Social Sciences,2022,3000,3338,3200.0,338,0.105625
Bachelor of Early Childhood Education,Singapore University of Social Sciences,2023,3097,3525,3400.0,428,0.12588235294117647
Bachelor of Early Childhood Education ^,Singapore University of Social Sciences,2020,2700,3016,3000.0,316,0.10533333333333333
"Bachelor of Engineering
(Environmental Engineering)",National University of Singapore,2023,3900,4588,4243.0,688,0.16214942257836437
Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering),Nanyang Technological University,2017,3200,4000,3500.0,800,0.22857142857142856
Bachelor of Engineering (Bioengineering),National University of Singapore,2013,2720,3250,3000.0,530,0.17666666666666667
"Bachelor of Engineering (Biomedical
Engineering)",National University of Singapore,2023,3740,4600,4100.0,860,0.2097560975609756
Bachelor of Engineering (Biomedical Engineering),National University of Singapore,2015,3000,3500,3300.0,500,0.15151515151515152
Bachelor of Engineering (Biomedical Engineering),National University of Singapore,2016,3000,3500,3200.0,500,0.15625
Bachelor of Engineering (Biomedical Engineering),National University of Singapore,2017,3000,3700,3300.0,700,0.21212121212121213
Bachelor of Engineering (Biomedical Engineering),National University of Singapore,2018,3280,3650,3389.0,370,0.10917674830333432
Bachelor of Engineering (Biomedical Engineering),National University of Singapore,2019,3200,3800,3500.0,600,0.17142857142857143
Bachelor of Engineering (Biomedical Engineering),National University of Singapore,2020,3300,3740,3500.0,440,0.12571428571428572
