degree,university,year,gross_mthly_25_percentile,gross_mthly_75_percentile,gross_monthly_median,IQR,IQR_ratio
Social Sciences,Singapore Management University,2019,3065,4000,3500.0,935,0.2671428571428571
Social Sciences,Singapore Management University,2020,3200,4000,3500.0,800,0.22857142857142856
Social Sciences,Singapore Management University,2021,3200,4010,3600.0,810,0.225
Social Sciences,Singapore Management University,2022,3500,4600,4000.0,1100,0.275
Social Sciences,Singapore Management University,2023,3600,4780,4000.0,1180,0.295
Social Sciences (4-year programme),Singapore Management University,2014,2800,3580,3000.0,780,0.26
Social Sciences (4-year programme) Cum Laude and above,Singapore Management University,2014,3000,3955,3590.0,955,0.266016713091922
Social Sciences (4-years programme),Singapore Management University,2013,2600,3320,3000.0,720,0.24
Social Sciences (4-years programme) Cum Laude and above,Singapore Management University,2013,2800,3781,3200.0,981,0.3065625
Social Sciences (Cum Laude and above),Singapore Management University,2018,3200,4100,3600.0,900,0.25
Social Sciences (Cum Laude and above),Singapore Management University,2019,3100,4070,3500.0,970,0.27714285714285714
Social Sciences (Cum Laude and above),Singapore Management University,2020,3230,4200,3510.0,970,0.27635327635327633
Social Sciences (Cum Laude and above),Singapore Management University,2021,3350,4500,3763.0,1150,0.3056072282753122
Social Sciences (Cum Laude and above),Singapore Management University,2022,3795,4900,4316.0,1105,0.2560240963855422
Social Sciences Cum Laude and above,Singapore Management University,2015,3300,4583,3560.0,1283,0.3603932584269663
Social Sciences Cum Laude and above,Singapore Management University,2016,3000,3668,3400.0,668,0.19647058823529412
Social Sciences Cum Laude and above,Singapore Management University,2017,3300,4000,3630.0,700,0.1928374655647383
Sociology,Nanyang Technological University,2013,2800,3310,3100.0,510,0.16451612903225807
Sociology,Nanyang Technological University,2014,2800,3260,3100.0,460,0.14838709677419354
Sociology,Nanyang Technological University,2015,2700,3600,3125.0,900,0.288
Sociology,Nanyang Technological University,2016,3000,3850,3500.0,850,0.24285714285714285
Sociology,Nanyang Technological University,2018,3000,3841,3220.0,841,0.2611801242236025
Sociology,Nanyang Technological University,2019,3040,3600,3300.0,560,0.1696969696969697
Sociology,Nanyang Technological University,2020,3300,3800,3600.0,500,0.1388888888888889
Sociology,Nanyang Technological University,2021,3200,3940,3500.0,740,0.21142857142857144
Sociology,Nanyang Technological University,2022,3450,4200,3800.0,750,0.19736842105263158
Sociology,Nanyang Technological University,2023,3540,4400,4008.0,860,0.21457085828343314
Sport Science and Management,Nanyang Technological University,2018,3000,3600,3300.0,600,0.18181818181818182
Sports Science and Management,Nanyang Technological University,2013,2700,3400,3000.0,700,0.23333333333333334
Sports Science and Management,Nanyang Technological University,2014,2700,3590,3000.0,890,0.2966666666666667
Sports Science and Management,Nanyang Technological University,2015,2900,3600,3295.0,700,0.212443095599393
Sports Science and Management,Nanyang Technological University,2016,2825,3500,3200.0,675,0.2109375
Sports Science and Management,Nanyang Technological University,2019,3000,3660,3350.0,660,0.19701492537313434
Sports Science and Management,Nanyang Technological University,2020,3000,4200,3300.0,1200,0.36363636363636365
Sports Science and Management,Nanyang Technological University,2021,3100,3620,3300.0,520,0.15757575757575756
Sports Science and Management,Nanyang Technological University,2022,3200,4266,3350.0,1066,0.3182089552238806
Sports Science and Management,Nanyang Technological University,2023,3250,4319,3850.0,1069,0.27766233766233767
